Link,Amy Barrett,Jesse Barrett,Michael Coney,Linda Coney
http://web.archive.org/web/20151018021122id_/http://peopleofpraise.org/media/thevine/2008-07-vine-and-branches.pdf,,,1,1
http://web.archive.org/web/20200920040408id_/https://peopleofpraise.org/media/pdf/V%26B%20Spring%202018%20web.pdf,,,,
http://web.archive.org/web/20151018074323id_/http://peopleofpraise.org/media/thevine/2013-winter-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151018072823id_/http://peopleofpraise.org/media/thevine/2008-12-vine-and-branches.pdf,1,,1,
http://web.archive.org/web/20151018072829id_/http://peopleofpraise.org/media/thevine/2008-08-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018081950id_/http://peopleofpraise.org/media/thevine/2009-05-06-vine-and-branches.pdf,1,1,1,1
http://web.archive.org/web/20180701175137id_/https://peopleofpraise.org/media/pdf/V%26B%20Late%20Spring%202017%20web%202_ZXr0eZb.pdf,,,,
http://web.archive.org/web/20151018072855id_/http://peopleofpraise.org/media/thevine/2009-10-11-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018020540id_/http://peopleofpraise.org/media/thevine/2007-12-vine-and-branches.pdf,,,,
http://web.archive.org/web/20200920040502id_/https://peopleofpraise.org/media/pdf/V%26B%20Late%20Spring%202018%20web.pdf,,,1,
http://web.archive.org/web/20151018072806id_/http://peopleofpraise.org/media/thevine/2006-03-vine-and-branches.pdf,,,,
http://web.archive.org/web/20180701175325id_/https://peopleofpraise.org/media/pdf/V%26B%20Late%20Summer%202017%20web.pdf,,,,
http://web.archive.org/web/20200920040344id_/https://peopleofpraise.org/media/pdf/V%26B%20Fall%202018%20web_UztWOE7.pdf,,,,
http://web.archive.org/web/20151018030232id_/http://peopleofpraise.org/media/main/vb/15/Sept.V%26B%207%2023%2014.pdf,,,,
http://web.archive.org/web/20151018082011id_/http://peopleofpraise.org/media/main/vb/add/Dec2005VB.pdf,,,1,1
http://web.archive.org/web/20151018074330id_/http://peopleofpraise.org/media/thevine/2009-02-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20170929204246id_/https://peopleofpraise.org/media/pdf/winter%20v%26b.pdf,,,,
http://web.archive.org/web/20180701175137id_/https://peopleofpraise.org/media/pdf/V%26B%20Winter%202017%20web%20copy.pdf,,,,
http://web.archive.org/web/20200920040458id_/https://peopleofpraise.org/media/pdf/V%26B%20Winter%202019%20web.pdf,,,1,
http://web.archive.org/web/20200920040414id_/https://peopleofpraise.org/media/pdf/V%26B%20Late%20Winter%202019%20web.pdf,,,,
http://web.archive.org/web/20170929204410id_/https://peopleofpraise.org/media/pdf/V%26B%20late%20fall%202016%20web%204.pdf,,,1,1
http://web.archive.org/web/20080705112551id_/http://www.peopleofpraise.org/thevine/issues/2008-04-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018020506id_/http://peopleofpraise.org/media/thevine/2012-spring-vine-and-branches.pdf,,,,
http://web.archive.org/web/20071028065330id_/http://www.peopleofpraise.org/thevine/issues/2007-02-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151022180344id_/http://peopleofpraise.org/media/thevine/2007-02-vine-and-branches.pdf,,,,
http://web.archive.org/web/20190312073142id_/https://peopleofpraise.org/media/main/vb/add/V%26B%20Winter%202015.pdf,,,,
http://web.archive.org/web/20151018081955id_/http://peopleofpraise.org/media/main/vb/44/V%26B%20Fall%202014%20for%20web%203.pdf,,,,
http://web.archive.org/web/20151018074316id_/http://peopleofpraise.org/media/thevine/2008-05-vine-and-branches.pdf,,1,,
http://web.archive.org/web/20151022180151id_/http://peopleofpraise.org/media/thevine/2011-spring-summer-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151018074347id_/http://peopleofpraise.org/media/thevine/2014-winter-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151018015716id_/http://peopleofpraise.org/media/thevine/2010-03-vine-and-branches.pdf,1,1,,
http://web.archive.org/web/20110220150300id_/http://www.peopleofpraise.org:80/thevine/issues/2007-11-vine-and-branches.pdf,,,,
http://web.archive.org/web/20071028065725id_/http://www.peopleofpraise.org/thevine/issues/2006-03-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018025326id_/http://peopleofpraise.org/media/thevine/2013-fall-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20071026150642id_/http://www.peopleofpraise.org/thevine/issues/2006-04-vine-and-branches.pdf,,,1,1
http://web.archive.org/web/20151018072847id_/http://peopleofpraise.org/media/thevine/2007-07-vine-and-branches.pdf,,,,
http://web.archive.org/web/20200920040311id_/https://peopleofpraise.org/media/page/page/37/change/pledge%20card%202019%20front%20and%20back%20for%20pdf.pdf,,,,
http://web.archive.org/web/20170930135036id_/https://peopleofpraise.org/media/pdf/winter%202017%20v%26b%20(5)%202.pdf,,,,
http://web.archive.org/web/20071028065957id_/http://www.peopleofpraise.org/thevine/issues/2007-05-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151022175928id_/http://peopleofpraise.org/media/thevine/2008-03-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018032650id_/http://peopleofpraise.org/media/thevine/2009-08-09-vine-and-branches.pdf,,,,
http://web.archive.org/web/20160804193918id_/http://peopleofpraise.org:80/media/main/vb/add/V&B%20Spring%202016%20web.pdf,,,,
http://web.archive.org/web/20151018082033id_/http://peopleofpraise.org/media/thevine/2006-07-vine-and-branches.pdf,,,1,1
http://web.archive.org/web/20200920040258id_/https://peopleofpraise.org/media/pdf/V%26B%20Winter%202018%20web.pdf,,,1,
http://web.archive.org/web/20080705112559id_/http://www.peopleofpraise.org/thevine/issues/2008-05-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018015735id_/http://peopleofpraise.org/media/thevine/2006-04-vine-and-branches.pdf,,,1,1
http://web.archive.org/web/20071028065835id_/http://www.peopleofpraise.org/thevine/issues/2007-03-04-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018072736id_/http://peopleofpraise.org/media/thevine/2007-03-04-vine-and-branches.pdf,,,,
http://web.archive.org/web/20071028065637id_/http://www.peopleofpraise.org/thevine/issues/2007-01-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018074252id_/http://peopleofpraise.org/media/thevine/2006-08-vine-and-branches.pdf,,,,
http://web.archive.org/web/20170930134909id_/https://peopleofpraise.org/media/pdf/V%26B%20Summer%202017%20web.pdf,,,,
http://web.archive.org/web/20170305013520id_/http://peopleofpraise.org/media/main/vb/50/V%26B%20Fall%202015%20web%202.pdf,,,1,
http://web.archive.org/web/20151018020633id_/http://peopleofpraise.org/media/thevine/2010-summer-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151018073008id_/http://peopleofpraise.org/media/thevine/2008-06-vine-and-branches.pdf,,,,
http://web.archive.org/web/20071028065919id_/http://www.peopleofpraise.org/thevine/issues/2007-09-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018020922id_/http://peopleofpraise.org/media/thevine/2006-12-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151018022641id_/http://peopleofpraise.org/media/thevine/2011-fall-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20160412062302id_/http://peopleofpraise.org:80/media/page/page/37/change/pledge%20card%20mission%20fund%20for%20web.pdf,,,,
http://web.archive.org/web/20071028070156id_/http://www.peopleofpraise.org/thevine/issues/2006-11-vine-and-branches.pdf,,,,
http://web.archive.org/web/20071028065412id_/http://www.peopleofpraise.org/thevine/issues/2006-07-vine-and-branches.pdf,,,1,1
http://web.archive.org/web/20151018074202id_/http://peopleofpraise.org/media/main/vb/add/January06VB.pdf,,,1,
http://web.archive.org/web/20200920040446id_/https://peopleofpraise.org/media/pdf/V%26B%20Late%20Winter%202020%20web%202.pdf,,,,
http://web.archive.org/web/20151018072724id_/http://peopleofpraise.org/media/main/vb/add/V%26B%20Summer%202015%20web.pdf,,,,
http://web.archive.org/web/20151022180518id_/http://peopleofpraise.org/media/thevine/2012-fall-vine-and-branches.pdf,,1,,
http://web.archive.org/web/20151018072943id_/http://peopleofpraise.org/media/thevine/2007-05-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151018030811id_/http://peopleofpraise.org/media/thevine/2011-winter-vine-and-branches.pdf,1,1,,
http://web.archive.org/web/20151018072742id_/http://peopleofpraise.org/media/thevine/2013-summer-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20121202204939id_/http://www.peopleofpraise.org/thevine/issues/2008-07-vine-and-branches.pdf,,,1,1
http://web.archive.org/web/20151018082003id_/http://peopleofpraise.org/media/thevine/2008-10-11-vine-and-branches.pdf,,,1,
http://web.archive.org/web/20151018031423id_/http://peopleofpraise.org/media/thevine/2012-summer-vine-and-branches.pdf,1,1,1,
http://web.archive.org/web/20200920040406id_/https://peopleofpraise.org/media/pdf/winter%202017%20v%26b%20%285%29%202.pdf,,,,
http://web.archive.org/web/20071028070038id_/http://www.peopleofpraise.org/thevine/issues/2006-08-vine-and-branches.pdf,,,,
http://web.archive.org/web/20151018021123id_/http://peopleofpraise.org/media/thevine/2007-08-vine-and-branches.pdf,,,1,
Total,7,6,36,9
