Date	Frequency	Hashtags
2013-01-08	1	#WhiteOutWednesday
2013-01-09	4	#WhiteOutWednesday
2013-01-10	2	#WhiteOutWednesday
2013-01-14	2	#WhiteOutWednesday
2013-01-15	4	#WhiteOutWednesday
2013-01-16	9	#WhiteOutWednesday
2013-01-21	2	#WhiteOutWednesday
2013-01-22	2	#WhiteOutWednesday
2013-01-23	5	#WhiteOutWednesday
2013-01-24	1	#WhiteOutWednesday
2013-01-29	1	#WhiteOutWednesday
2013-01-30	5	#WhiteOutWednesday
2013-02-05	2	#WhiteOutWednesday
2013-02-06	7	#WhiteOutWednesday
2013-02-11	5	#WhiteOutWednesday
2013-02-12	3	#WhiteOutWednesday
2013-02-13	4	#WhiteOutWednesday
2013-02-16	1	#WhiteOutWednesday
2013-02-18	4	#WhiteOutWednesday
2013-02-19	8	#WhiteOutWednesday
2013-02-20	16	#WhiteOutWednesday
2013-02-21	3	#WhiteOutWednesday
2013-02-25	4	#WhiteOutWednesday
2013-02-26	5	#WhiteOutWednesday
2013-02-27	6	#WhiteOutWednesday
2013-03-03	1	#WhiteOutWednesday
2013-03-04	1	#WhiteOutWednesday
2013-03-05	1	#WhiteOutWednesday
2013-03-06	13	#WhiteOutWednesday
2013-03-12	5	#WhiteOutWednesday
2013-03-13	33	#WhiteOutWednesday
2013-03-14	1	#WhiteOutWednesday
2013-03-16	1	#WhiteOutWednesday
2013-03-19	2	#WhiteOutWednesday
2013-03-20	11	#WhiteOutWednesday
2013-03-27	14	#WhiteOutWednesday
2013-03-29	2	#WhiteOutWednesday
2013-04-03	6	#WhiteOutWednesday
2013-04-04	1	#WhiteOutWednesday
2013-04-09	1	#WhiteOutWednesday
2013-04-10	8	#WhiteOutWednesday
2013-04-12	1	#WhiteOutWednesday
2013-04-15	1	#WhiteOutWednesday
2013-04-16	1	#WhiteOutWednesday
2013-04-17	57	#WhiteOutWednesday
2013-04-23	2	#WhiteOutWednesday
2013-04-24	6	#WhiteOutWednesday
2013-04-30	2	#WhiteOutWednesday
2013-05-01	7	#WhiteOutWednesday
2013-05-07	1	#WhiteOutWednesday
2013-05-08	9	#WhiteOutWednesday
2013-05-14	1	#WhiteOutWednesday
2013-05-15	5	#WhiteOutWednesday
2013-05-22	4	#WhiteOutWednesday
2013-05-23	1	#WhiteOutWednesday
2013-05-29	5	#WhiteOutWednesday
2013-06-03	1	#WhiteOutWednesday
2013-06-05	5	#WhiteOutWednesday
2013-06-18	1	#WhiteOutWednesday
2013-06-19	2	#WhiteOutWednesday
2013-06-20	1	#WhiteOutWednesday
2013-07-02	1	#WhiteOutWednesday
2013-07-03	3	#WhiteOutWednesday
2013-07-10	2	#WhiteOutWednesday
2013-07-16	1	#WhiteOutWednesday
2013-07-17	3	#WhiteOutWednesday
2013-07-18	1	#WhiteOutWednesday
2013-07-25	1	#WhiteOutWednesday
2013-07-30	1	#WhiteOutWednesday
2013-07-31	1	#WhiteOutWednesday
2013-08-01	1	#WhiteOutWednesday
2013-08-07	1	#WhiteOutWednesday
2013-08-13	3	#WhiteOutWednesday
2013-08-14	2	#WhiteOutWednesday
2013-08-19	4	#WhiteOutWednesday
2013-08-20	1	#WhiteOutWednesday
2013-08-21	1	#WhiteOutWednesday
2013-08-27	1	#WhiteOutWednesday
2013-08-28	2	#WhiteOutWednesday
2013-08-29	1	#WhiteOutWednesday
2013-09-03	1	#WhiteOutWednesday
2013-09-04	1	#WhiteOutWednesday
2013-09-08	1	#WhiteOutWednesday
2013-09-11	3	#WhiteOutWednesday
2013-09-17	6	#WhiteOutWednesday
2013-09-18	17	#WhiteOutWednesday
2013-09-19	4	#WhiteOutWednesday
2013-09-21	1	#WhiteOutWednesday
2013-09-22	1	#WhiteOutWednesday
2013-09-23	1	#WhiteOutWednesday
2013-09-24	4	#WhiteOutWednesday
2013-09-25	21	#WhiteOutWednesday
2013-09-26	1	#WhiteOutWednesday
2013-09-27	1	#WhiteOutWednesday
2013-09-29	1	#WhiteOutWednesday
2013-09-30	1	#WhiteOutWednesday
2013-10-01	7	#WhiteOutWednesday
2013-10-02	10	#WhiteOutWednesday
2013-10-03	1	#WhiteOutWednesday
2013-10-09	5	#WhiteOutWednesday
2013-10-14	1	#WhiteOutWednesday
2013-10-15	2	#WhiteOutWednesday
2013-10-16	2	#WhiteOutWednesday
2013-10-17	13	#WhiteOutWednesday
2013-10-19	1	#WhiteOutWednesday
2013-10-20	1	#WhiteOutWednesday
2013-10-22	3	#WhiteOutWednesday
2013-10-23	3	#WhiteOutWednesday
2013-10-29	2	#WhiteOutWednesday
2013-10-30	3	#WhiteOutWednesday
2013-11-04	1	#WhiteOutWednesday
2013-11-06	3	#WhiteOutWednesday
2013-11-13	1	#WhiteOutWednesday
2013-11-19	2	#WhiteOutWednesday
2013-11-20	2	#WhiteOutWednesday
2013-11-21	7	#WhiteOutWednesday
2013-11-22	18	#WhiteOutWednesday
2013-11-24	1	#WhiteOutWednesday
2013-11-25	1	#WhiteOutWednesday
2013-11-26	4	#WhiteOutWednesday
2013-11-27	5	#WhiteOutWednesday
2013-11-29	1	#WhiteOutWednesday
2013-12-03	1	#WhiteOutWednesday
2013-12-04	4	#WhiteOutWednesday
2013-12-09	1	#WhiteOutWednesday
2013-12-11	7	#WhiteOutWednesday
2013-12-15	1	#WhiteOutWednesday
2013-12-17	5	#WhiteOutWednesday
2013-12-18	2	#WhiteOutWednesday
2013-12-21	1	#WhiteOutWednesday
2014-01-06	10	#WhiteOutWednesday
2014-01-08	2	#WhiteOutWednesday
2014-01-14	3	#WhiteOutWednesday
2014-01-15	6	#WhiteOutWednesday
2014-01-22	4	#WhiteOutWednesday
2014-01-27	1	#WhiteOutWednesday
2014-01-29	3	#WhiteOutWednesday
2014-01-30	1	#WhiteOutWednesday
2014-02-02	5	#WhiteOutWednesday
2014-02-03	9	#WhiteOutWednesday
2014-02-04	7	#WhiteOutWednesday
2014-02-05	20	#WhiteOutWednesday
2014-02-08	1	#WhiteOutWednesday
2014-02-09	1	#WhiteOutWednesday
2014-02-11	5	#WhiteOutWednesday
2014-02-12	8	#WhiteOutWednesday
2014-02-18	2	#WhiteOutWednesday
2014-02-19	12	#WhiteOutWednesday
2014-02-22	2	#WhiteOutWednesday
2014-02-23	1	#WhiteOutWednesday
2014-02-24	1	#WhiteOutWednesday
2014-02-25	8	#WhiteOutWednesday
2014-02-26	14	#WhiteOutWednesday
2014-03-02	1	#WhiteOutWednesday
2014-03-05	4	#WhiteOutWednesday
2014-03-10	1	#WhiteOutWednesday
2014-03-11	1	#WhiteOutWednesday
2014-03-12	3	#WhiteOutWednesday
2014-03-14	1	#WhiteOutWednesday
2014-03-19	1	#WhiteOutWednesday
2014-03-23	1	#WhiteOutWednesday
2014-03-24	2	#WhiteOutWednesday
2014-03-25	1	#WhiteOutWednesday
2014-03-26	48	#WhiteOutWednesday
2014-03-27	4	#WhiteOutWednesday
2014-03-28	1	#WhiteOutWednesday
2014-04-02	1	#WhiteOutWednesday
2014-04-09	3	#WhiteOutWednesday
2014-04-15	1	#WhiteOutWednesday
2014-04-16	3	#WhiteOutWednesday
2014-04-20	4	#WhiteOutWednesday
2014-04-22	2	#WhiteOutWednesday
2014-04-23	4	#WhiteOutWednesday
2014-04-28	3	#WhiteOutWednesday
2014-04-29	2	#WhiteOutWednesday
2014-04-30	7	#WhiteOutWednesday
2014-05-07	3	#WhiteOutWednesday
2014-05-10	1	#WhiteOutWednesday
2014-05-12	1	#WhiteOutWednesday
2014-05-13	3	#WhiteOutWednesday
2014-05-14	4	#WhiteOutWednesday
2014-05-19	1	#WhiteOutWednesday
2014-05-21	3	#WhiteOutWednesday
2014-05-22	1	#WhiteOutWednesday
2014-05-26	4	#WhiteOutWednesday
2014-05-27	3	#WhiteOutWednesday
2014-05-28	2	#WhiteOutWednesday
2014-05-29	13	#WhiteOutWednesday
2014-06-04	1	#WhiteOutWednesday
2014-06-25	3	#WhiteOutWednesday
2014-06-26	2	#WhiteOutWednesday
2014-07-02	1	#WhiteOutWednesday
2014-07-07	3	#WhiteOutWednesday
2014-07-16	15	#WhiteOutWednesday
2014-07-17	1	#WhiteOutWednesday
2014-07-23	2	#WhiteOutWednesday
2014-07-29	1	#WhiteOutWednesday
2014-07-30	3	#WhiteOutWednesday
2014-08-06	1	#WhiteOutWednesday
2014-08-13	1	#WhiteOutWednesday
2014-08-20	10	#WhiteOutWednesday
2014-08-26	3	#WhiteOutWednesday
2014-08-27	5	#WhiteOutWednesday
2014-09-03	3	#WhiteOutWednesday
2014-09-04	1	#WhiteOutWednesday
2014-09-08	2	#WhiteOutWednesday
2014-09-10	6	#WhiteOutWednesday
2014-09-16	2	#WhiteOutWednesday
2014-09-17	5	#WhiteOutWednesday
2014-09-24	4	#WhiteOutWednesday
2014-09-30	1	#WhiteOutWednesday
2014-10-01	1	#WhiteOutWednesday
2014-10-08	5	#WhiteOutWednesday
2014-10-15	4	#WhiteOutWednesday
2014-10-22	7	#WhiteOutWednesday
2014-10-29	5	#WhiteOutWednesday
2014-11-04	1	#WhiteOutWednesday
2014-11-05	1	#WhiteOutWednesday
2014-11-12	11	#WhiteOutWednesday
2014-11-13	1	#WhiteOutWednesday
2014-11-26	4	#WhiteOutWednesday
2014-11-27	1	#WhiteOutWednesday
2014-12-02	2	#WhiteOutWednesday
2014-12-03	12	#WhiteOutWednesday
2014-12-04	2	#WhiteOutWednesday
2014-12-08	1	#WhiteOutWednesday
2014-12-10	2	#WhiteOutWednesday
2015-01-06	1	#WhiteOutWednesday
2015-01-07	9	#WhiteOutWednesday
2015-01-11	1	#WhiteOutWednesday
2015-01-13	2	#WhiteOutWednesday
2015-01-14	2	#WhiteOutWednesday
2015-01-20	1	#WhiteOutWednesday
2015-01-21	26	#WhiteOutWednesday
2015-01-22	1	#WhiteOutWednesday
2015-01-23	1	#WhiteOutWednesday
2015-01-26	2	#WhiteOutWednesday
2015-01-27	7	#WhiteOutWednesday
2015-01-28	28	#WhiteOutWednesday
2015-02-03	1	#WhiteOutWednesday
2015-02-04	13	#WhiteOutWednesday
2015-02-07	9	#WhiteOutWednesday
2015-02-08	8	#WhiteOutWednesday
2015-02-09	7	#WhiteOutWednesday
2015-02-10	8	#WhiteOutWednesday
2015-02-11	20	#WhiteOutWednesday
2015-02-16	1	#WhiteOutWednesday
2015-02-18	5	#WhiteOutWednesday
2015-02-19	1	#WhiteOutWednesday
2015-02-20	1	#WhiteOutWednesday
2015-02-23	1	#WhiteOutWednesday
2015-02-24	1	#WhiteOutWednesday
2015-02-25	5	#WhiteOutWednesday
2015-02-26	1	#WhiteOutWednesday
2015-03-03	3	#WhiteOutWednesday
2015-03-04	7	#WhiteOutWednesday
2015-03-05	1	#WhiteOutWednesday
2015-03-06	9	#WhiteOutWednesday
2015-03-07	2	#WhiteOutWednesday
2015-03-10	2	#WhiteOutWednesday
2015-03-11	9	#WhiteOutWednesday
2015-03-18	3	#WhiteOutWednesday
2015-03-23	1	#WhiteOutWednesday
2015-03-25	6	#WhiteOutWednesday
2015-03-26	1	#WhiteOutWednesday
2015-03-30	1	#WhiteOutWednesday
2015-03-31	1	#WhiteOutWednesday
2015-04-01	11	#WhiteOutWednesday
2015-04-05	1	#WhiteOutWednesday
2015-04-06	2	#WhiteOutWednesday
2015-04-07	4	#WhiteOutWednesday
2015-04-08	9	#WhiteOutWednesday
2015-04-14	1	#WhiteOutWednesday
2015-04-15	5	#WhiteOutWednesday
2015-04-21	3	#WhiteOutWednesday
2015-04-22	10	#WhiteOutWednesday
2015-04-23	2	#WhiteOutWednesday
2015-04-29	5	#WhiteOutWednesday
2015-05-06	4	#WhiteOutWednesday
2015-05-11	1	#WhiteOutWednesday
2015-05-12	3	#WhiteOutWednesday
2015-05-13	8	#WhiteOutWednesday
2015-05-14	1	#WhiteOutWednesday
2015-05-16	1	#WhiteOutWednesday
2015-05-17	1	#WhiteOutWednesday
2015-05-18	1	#WhiteOutWednesday
2015-05-19	5	#WhiteOutWednesday
2015-05-20	109	#WhiteOutWednesday
2015-05-21	3	#WhiteOutWednesday
2015-05-27	1	#WhiteOutWednesday
2015-06-10	5	#WhiteOutWednesday
2015-06-25	1	#WhiteOutWednesday
2015-07-01	1	#WhiteOutWednesday
2015-07-08	1	#WhiteOutWednesday
2015-07-14	1	#WhiteOutWednesday
2015-07-15	2	#WhiteOutWednesday
2015-07-22	3	#WhiteOutWednesday
2015-07-29	4	#WhiteOutWednesday
2015-08-05	2	#WhiteOutWednesday
2015-08-12	2	#WhiteOutWednesday
2015-08-18	1	#WhiteOutWednesday
2015-08-19	3	#WhiteOutWednesday
2015-08-20	1	#WhiteOutWednesday
2015-08-26	1	#WhiteOutWednesday
2015-09-01	1	#WhiteOutWednesday
2015-09-02	7	#WhiteOutWednesday
2015-09-04	1	#WhiteOutWednesday
2015-09-05	1	#WhiteOutWednesday
2015-09-16	4	#WhiteOutWednesday
2015-09-28	1	#WhiteOutWednesday
2015-09-29	1	#WhiteOutWednesday
2015-09-30	5	#WhiteOutWednesday
2015-10-01	2	#WhiteOutWednesday
2015-10-13	1	#WhiteOutWednesday
2015-10-14	2	#WhiteOutWednesday
2015-10-21	2	#WhiteOutWednesday
2015-10-28	3	#WhiteOutWednesday
2015-11-10	1	#WhiteOutWednesday
2015-11-11	1	#WhiteOutWednesday
2015-11-18	3	#WhiteOutWednesday
2015-11-25	2	#WhiteOutWednesday
2015-12-03	1	#WhiteOutWednesday
2015-12-14	1	#WhiteOutWednesday
2015-12-15	2	#WhiteOutWednesday
2015-12-16	7	#WhiteOutWednesday
2015-12-23	2	#WhiteOutWednesday
2015-12-30	1	#WhiteOutWednesday
2016-01-03	1	#WhiteOutWednesday
2016-01-06	2	#WhiteOutWednesday
2016-01-13	2	#WhiteOutWednesday
2016-01-19	1	#WhiteOutWednesday
2016-01-20	1	#WhiteOutWednesday
2016-01-25	1	#WhiteOutWednesday
2016-01-27	4	#WhiteOutWednesday
2016-01-31	1	#WhiteOutWednesday
2016-02-01	1	#WhiteOutWednesday
2016-02-02	1	#WhiteOutWednesday
2016-02-03	2	#WhiteOutWednesday
2016-02-10	4	#WhiteOutWednesday
2016-02-15	2	#WhiteOutWednesday
2016-02-16	3	#WhiteOutWednesday
2016-02-17	3	#WhiteOutWednesday
2016-02-23	1	#WhiteOutWednesday
2016-02-24	3	#WhiteOutWednesday
2016-02-28	1	#WhiteOutWednesday
2016-03-02	2	#WhiteOutWednesday
2016-03-03	1	#WhiteOutWednesday
2016-03-07	1	#WhiteOutWednesday
2016-03-09	3	#WhiteOutWednesday
2016-03-16	6	#WhiteOutWednesday
2016-03-23	3	#WhiteOutWednesday
2016-03-25	1	#WhiteOutWednesday
2016-03-30	1	#WhiteOutWednesday
2016-04-02	1	#WhiteOutWednesday
2016-04-06	2	#WhiteOutWednesday
2016-04-13	3	#WhiteOutWednesday
2016-04-20	2	#WhiteOutWednesday
2016-04-30	1	#WhiteOutWednesday
2016-05-04	4	#WhiteOutWednesday
2016-05-11	1	#WhiteOutWednesday
2016-05-16	1	#WhiteOutWednesday
2016-05-18	1	#WhiteOutWednesday
2016-06-01	4	#WhiteOutWednesday
2016-06-29	2	#WhiteOutWednesday
2016-07-14	1	#WhiteOutWednesday
2016-07-21	1	#WhiteOutWednesday
2016-07-23	2	#WhiteOutWednesday
2016-07-27	4	#WhiteOutWednesday
2016-08-03	1	#WhiteOutWednesday
2016-08-10	1	#WhiteOutWednesday
2016-08-11	1	#WhiteOutWednesday
2016-08-24	2	#WhiteOutWednesday
2016-09-14	1	#WhiteOutWednesday
2016-09-21	1	#WhiteOutWednesday
2016-09-26	1	#WhiteOutWednesday
2016-09-27	1	#WhiteOutWednesday
2016-09-28	1	#WhiteOutWednesday
2016-10-19	1	#WhiteOutWednesday
2016-11-01	2	#WhiteOutWednesday
2016-11-02	3	#WhiteOutWednesday
2016-11-09	1	#WhiteOutWednesday
2016-11-16	1	#WhiteOutWednesday
2016-11-21	1	#WhiteOutWednesday
2016-11-23	1	#WhiteOutWednesday
2016-11-28	1	#WhiteOutWednesday
2016-11-30	1	#WhiteOutWednesday
2016-12-06	2	#WhiteOutWednesday
2016-12-07	2	#WhiteOutWednesday
2016-12-12	1	#WhiteOutWednesday
2016-12-14	1	#WhiteOutWednesday
2017-01-11	1	#WhiteOutWednesday
2017-01-18	1	#WhiteOutWednesday
2017-01-25	4	#WhiteOutWednesday
2017-01-28	1	#WhiteOutWednesday
2017-01-30	1	#WhiteOutWednesday
2017-01-31	1	#WhiteOutWednesday
2017-02-01	3	#WhiteOutWednesday
2017-02-13	1	#WhiteOutWednesday
2017-02-14	1	#WhiteOutWednesday
2017-02-15	2	#WhiteOutWednesday
2017-02-21	2	#WhiteOutWednesday
2017-02-22	4	#WhiteOutWednesday
2017-03-01	2	#WhiteOutWednesday
2017-03-07	1	#WhiteOutWednesday
2017-03-08	1	#WhiteOutWednesday
2017-03-15	1	#WhiteOutWednesday
2017-03-22	1	#WhiteOutWednesday
2017-03-29	3	#WhiteOutWednesday
2017-04-19	1	#WhiteOutWednesday
2017-05-03	1	#WhiteOutWednesday
2017-05-10	4	#WhiteOutWednesday
2017-06-07	1	#WhiteOutWednesday
2017-06-15	1	#WhiteOutWednesday
2017-07-05	2	#WhiteOutWednesday
2017-07-19	2	#WhiteOutWednesday
2017-07-26	3	#WhiteOutWednesday
2017-08-02	2	#WhiteOutWednesday
2017-09-04	1	#WhiteOutWednesday
2017-10-10	1	#WhiteOutWednesday
2017-10-11	1	#WhiteOutWednesday
2017-10-13	1	#WhiteOutWednesday
2017-10-14	1	#WhiteOutWednesday
2017-10-17	1	#WhiteOutWednesday
2017-10-18	1	#WhiteOutWednesday
2017-10-19	1	#WhiteOutWednesday
2017-10-20	1	#WhiteOutWednesday
2017-10-25	1	#WhiteOutWednesday
2017-10-31	1	#WhiteOutWednesday
2017-11-01	1	#WhiteOutWednesday
2017-11-08	2	#WhiteOutWednesday
2017-11-15	1	#WhiteOutWednesday
2017-11-22	1	#WhiteOutWednesday
2017-11-29	1	#WhiteOutWednesday
2017-12-06	3	#WhiteOutWednesday
2017-12-13	1	#WhiteOutWednesday
2017-12-20	1	#WhiteOutWednesday
2018-01-06	1	#WhiteOutWednesday
2018-01-09	1	#WhiteOutWednesday
2018-01-10	1	#WhiteOutWednesday
2018-01-16	1	#WhiteOutWednesday
2018-01-17	3	#WhiteOutWednesday
2018-01-23	1	#WhiteOutWednesday
2018-01-24	1	#WhiteOutWednesday
2018-01-31	3	#WhiteOutWednesday
2018-02-04	1	#WhiteOutWednesday
2018-02-07	2	#WhiteOutWednesday
2018-02-14	1	#WhiteOutWednesday
2018-02-18	1	#WhiteOutWednesday
2018-02-19	1	#WhiteOutWednesday
2018-02-21	2	#WhiteOutWednesday
2018-02-28	5	#WhiteOutWednesday
2018-03-14	1	#WhiteOutWednesday
2018-03-21	3	#WhiteOutWednesday
2018-03-28	2	#WhiteOutWednesday
2018-04-04	2	#WhiteOutWednesday
2018-04-08	1	#WhiteOutWednesday
2018-04-09	1	#WhiteOutWednesday
2018-04-10	1	#WhiteOutWednesday
2018-04-11	4	#WhiteOutWednesday
2018-04-18	2	#WhiteOutWednesday
2018-04-25	1	#WhiteOutWednesday
2018-05-02	2	#WhiteOutWednesday
2018-05-16	1	#WhiteOutWednesday
2018-06-27	1	#WhiteOutWednesday
2018-07-14	1	#WhiteOutWednesday
2018-07-24	1	#WhiteOutWednesday
2018-07-25	2	#WhiteOutWednesday
2018-08-22	1	#WhiteOutWednesday
2018-09-10	1	#WhiteOutWednesday
2018-10-08	1	#WhiteOutWednesday
2018-10-10	3	#WhiteOutWednesday
2018-10-17	1	#WhiteOutWednesday
2018-11-21	1	#WhiteOutWednesday
2018-12-05	1	#WhiteOutWednesday
2018-12-18	1	#WhiteOutWednesday
2018-12-19	1	#WhiteOutWednesday
2019-01-08	2	#WhiteOutWednesday
2019-01-09	3	#WhiteOutWednesday
2019-01-15	1	#WhiteOutWednesday
2019-01-16	1	#WhiteOutWednesday
2019-01-22	2	#WhiteOutWednesday
2019-01-29	1	#WhiteOutWednesday
2019-01-30	34	#WhiteOutWednesday
2019-02-05	1	#WhiteOutWednesday
2019-02-06	1	#WhiteOutWednesday
2019-02-12	4	#WhiteOutWednesday
2019-02-13	1	#WhiteOutWednesday
2019-02-14	1	#WhiteOutWednesday
2019-02-19	1	#WhiteOutWednesday
2019-02-27	1	#WhiteOutWednesday
2019-03-05	1	#WhiteOutWednesday
2019-03-12	1	#WhiteOutWednesday
2019-03-26	1	#WhiteOutWednesday
2019-03-27	5	#WhiteOutWednesday
2019-04-09	2	#WhiteOutWednesday
2019-04-10	4	#WhiteOutWednesday
2019-04-11	1	#WhiteOutWednesday
2019-04-16	1	#WhiteOutWednesday
2019-04-23	1	#WhiteOutWednesday
2019-05-01	1	#WhiteOutWednesday
2019-05-07	2	#WhiteOutWednesday
2019-05-08	1	#WhiteOutWednesday
2019-05-22	1	#WhiteOutWednesday
2019-06-04	1	#WhiteOutWednesday
2019-06-11	1	#WhiteOutWednesday
2019-06-18	1	#WhiteOutWednesday
2019-06-25	1	#WhiteOutWednesday
2019-07-02	1	#WhiteOutWednesday
2019-07-09	1	#WhiteOutWednesday
2019-07-16	1	#WhiteOutWednesday
2019-07-23	1	#WhiteOutWednesday
2019-07-30	1	#WhiteOutWednesday
2019-08-06	1	#WhiteOutWednesday
2019-08-07	1	#WhiteOutWednesday
2019-08-14	2	#WhiteOutWednesday
2019-08-20	1	#WhiteOutWednesday
2019-08-28	2	#WhiteOutWednesday
2019-09-04	1	#WhiteOutWednesday
2019-09-10	1	#WhiteOutWednesday
2019-09-17	1	#WhiteOutWednesday
2019-09-24	1	#WhiteOutWednesday
2019-10-07	1	#WhiteOutWednesday
2019-10-08	1	#WhiteOutWednesday
2019-11-05	1	#WhiteOutWednesday
2019-11-17	1	#WhiteOutWednesday
2019-11-20	1	#WhiteOutWednesday
2019-11-26	3	#WhiteOutWednesday
2019-11-27	4	#WhiteOutWednesday
2019-11-29	1	#WhiteOutWednesday
2019-12-03	1	#WhiteOutWednesday
2019-12-18	1	#WhiteOutWednesday
2020-02-13	1	#WhiteOutWednesday
2020-02-19	1	#WhiteOutWednesday
2020-02-26	1	#WhiteOutWednesday
2020-02-27	1	#WhiteOutWednesday
2020-03-02	1	#WhiteOutWednesday
2020-03-03	1	#WhiteOutWednesday
2020-03-18	1	#WhiteOutWednesday
2020-03-25	2	#WhiteOutWednesday
2020-04-15	1	#WhiteOutWednesday
2020-05-06	1	#WhiteOutWednesday
2020-05-27	1	#WhiteOutWednesday
2020-06-02	409	#WhiteOutWednesday
2020-06-03	11220	#WhiteOutWednesday
2020-06-04	693	#WhiteOutWednesday
2020-06-05	253	#WhiteOutWednesday
2020-06-06	160	#WhiteOutWednesday
2020-06-07	90	#WhiteOutWednesday
2020-06-08	73	#WhiteOutWednesday
2020-06-09	70	#WhiteOutWednesday
2020-06-10	164	#WhiteOutWednesday
2020-06-11	86	#WhiteOutWednesday
2020-06-12	11	#WhiteOutWednesday
2020-06-13	40	#WhiteOutWednesday
2020-06-14	10	#WhiteOutWednesday
2020-06-15	129	#WhiteOutWednesday
2020-06-16	8	#WhiteOutWednesday
2020-06-17	3	#WhiteOutWednesday
2020-06-18	12	#WhiteOutWednesday
2020-06-19	29	#WhiteOutWednesday
2020-06-20	6	#WhiteOutWednesday
2020-06-21	3	#WhiteOutWednesday
2020-06-22	132	#WhiteOutWednesday
